,id,author_id,text,created_at
0,1511040755262889984,1420660507,Amy Schumer: #WillSmith Slap Says So Much ‘About Toxic Masculinity’ https://t.co/DoYXPjo6Zt https://t.co/fyjLjv55V2,2022-04-04T17:59:24.000Z
1,1511040653563682823,848997614095814656,"🔴 STREAM NOW: https://t.co/hPbKkdhEWj

➡️ #Grammys: Trevor Noah Takes Jab at #WillSmith
➡️ #RedCarpet Fashion
➡️ #Disney: Should Companies Be Involved in Politics?
➡️ Sexually Abused by a Priest, Survivor Becomes a Priest

w/ @SamSchacher @JeffSchroeder23 @AlJackson &amp; @EricaCobb https://t.co/Dy5WQHzigU",2022-04-04T17:59:00.000Z
2,1511040594919014400,1256383268582293504,"Visit the link:

https://t.co/KbQxPmo5XO

@TheAcademy 

#OTEntertainment #WillSmith #AcademyAwards #OscarsSlap #BadBoys4 #FastandLoose #MovieDelay #USA",2022-04-04T17:58:46.000Z
3,1511040193364729856,535031998,Day 331: Saturday Night Live always knows how to capture the moment. 😂😂😂 #SNL #WillSmith #SeatFiller https://t.co/iVSEHj04VH,2022-04-04T17:57:10.000Z
4,1511039881778286594,52250883,"People are so quick to judge #WillSmith so quick to condemn #willsmithoscars the very people who are they have the same unaware issue too. Will did more good, have an excellent loving heart. And the surface unaware people clearly can't see the deeper issue. https://t.co/eeJk0CYNCr",2022-04-04T17:55:56.000Z
5,1511039721337729031,1269631328154247170,"⁦@WhoopiGoldberg⁩ Didn’t you just yell about not painting everyone with the same brush? Or is that just for elites like you and #willsmith?Goldberg claims Republicans opposing Ketanji Brown Jackson nomination because she's Black

https://t.co/7VHucPpmiY",2022-04-04T17:55:17.000Z
6,1511039677783961601,1420660507,#AmySchumer Is Calling Out #WillSmith’s ‘Toxic Masculinity’ For Slapping #ChrisRock At The #Oscars https://t.co/JKcMveOWhc via @UPROXXMovies https://t.co/m5oTfc6kXh,2022-04-04T17:55:07.000Z
7,1511039657055768576,26020465,#TatyanaAli says her “heart aches” over #WillSmith slapping #ChrisRock https://t.co/xCJGfJ2fE3,2022-04-04T17:55:02.000Z
8,1511039582724317188,54677680,"I think #WillSmith should be known as Will “Slappy” Smith going forward.  I miss the old days of colorful #nicknames.  

Will Smith.  #WillSlappySmith 
#Trending",2022-04-04T17:54:44.000Z
9,1511039319108169731,1142264935,"#Netflix and #Sony pull back from #WillSmith-led projects amid #Oscars fallout :o https://t.co/VZt6S9wwk4 #ICantFeelMyFace #Fashion #Country #Oaklawn/ #Dallas, #Texas #USA #UK #TV #Radio #NewMusic #Travel #App",2022-04-04T17:53:42.000Z
10,1511038891796705285,1058791709092519936,Smh #willsmith managed to destroy his career in the very moment of receiving an Oscar.,2022-04-04T17:52:00.000Z
11,1511038885077438466,16619905,"wrote ""When black men protect black women ~ Overlooking the larger request from the #ProtectBlackWomen hashtag after the Will Smith slap"" https://t.co/dHEDe5YElJ 

#TonyRock #blackwomen #blackmen #WillSmith #chrisRock #feminism 

(Photo credit: Alex Starnes/Unsplash) https://t.co/r4k2Io0Gx7",2022-04-04T17:51:58.000Z
12,1511038855704715277,2198740123,#WillSmith doesn’t believe in violence 😆 https://t.co/W7WSCeaBra,2022-04-04T17:51:51.000Z
13,1511038757029429256,1309525654573117442,"New episode is out now! LINK IN BIO

We have an original take on the Will Smith/Chris Rock debauchery!(no we don't) THEN we learn about famous internet dumshit Noah Katz of Artesian Builds on this weeks ""From Bad to Worse""!

#podcast #PodcastAndChill #WillSmith #ChrisRock https://t.co/EAdIdZqYoZ",2022-04-04T17:51:28.000Z
14,1511038717091205123,17528791,"What we can learn from the #WillSmith incident

Let his work continue, he will repay in enlightenment for all many times over https://t.co/T61uhqC0YP",2022-04-04T17:51:18.000Z
15,1511038602947530760,405554207,"Ricky Gervais on Jada Pinkett Smith s alopecia #Oscars joke:

""Someone said it was joking about her disability. Well I'm going a bit thin so I'm disabled. That means I can park right up to Tescos now"". 🤣😂 👏👏

#Willsmith #JadaPinkettSmith
#RickyGervais

https://t.co/2evybNpswr",2022-04-04T17:50:51.000Z
16,1511038461280759816,864801181,"I don't know what the fuss over #chrisrockwillsmith is for. In the past there were far worse rows but  talking about when people were remembered for their films as both #WillSmith and #JadaPinkettSmith shall be, not for being paid to insult your betters as #chrisrock will",2022-04-04T17:50:17.000Z
17,1511038003719847943,387987470,Will Smith when he first herd Chris rock joke.. #Will Smith #AcademyAwards2022 #chrisrockwillsmith #Jada #Willsmith #whatjusthappened #ChrisRock #JadaPinkettSmith #WillAndChris https://t.co/9xifUqcc4q,2022-04-04T17:48:28.000Z
18,1511037534075244551,6038642,#ICYMI Mel Gibson interview halted after Will Smith slap attack question https://t.co/LqRWR3rMmR #MelGibson #WillSmith #FoxNews,2022-04-04T17:46:36.000Z
19,1511037473442336771,931605073515311104,Will Smith should hire Denzel as his lawyer. #willsmith #philadelphia #chrisrock https://t.co/hfBUzld3Nk,2022-04-04T17:46:22.000Z
20,1511037181690892301,18139099,What this #WillSmith/#ChrisRock situation has exposed is a lot of people like to center themselves and their agendas in convos not about them,2022-04-04T17:45:12.000Z
