,sentiment,id,date,query,author,text
514293,neg,2190584004,Tue Jun 16 03:08:48 PDT 2009,NO_QUERY,Vicki_Gee,i miss nikki nu nu already  shes always there when needed thank u xxx
142282,neg,1881451988,Fri May 22 04:42:15 PDT 2009,NO_QUERY,PatCashin,So I had a dream last night. I  remember a sign which clearly told me where to get a job.  I can't rememer what the sign said.  
403727,neg,2058252964,Sat Jun 06 14:34:17 PDT 2009,NO_QUERY,deelectable,@girlyghost ohh poor sickly you   (((hugs)) hope you feel a little better soon
649503,neg,2237307600,Fri Jun 19 05:34:22 PDT 2009,NO_QUERY,justinekepa,it is raining again 
610789,neg,2224301193,Thu Jun 18 09:20:06 PDT 2009,NO_QUERY,cmatt007,@MissKeriBaby wish I was in LA right now 
67315,neg,1692257495,Sun May 03 19:36:35 PDT 2009,NO_QUERY,Dogbook,Nala Olowalu still has a full tummy from bread basket #2  http://apps.facebook.com/dogbook/profile/view/6285546
833521,pos,1557782222,Sun Apr 19 05:58:52 PDT 2009,NO_QUERY,MyAppleStuff,"@macintom site doesn't seem to want to load up, they must be getting a lot of hits "
256032,neg,1984628467,Sun May 31 15:29:11 PDT 2009,NO_QUERY,AlexCarrier,time for some sleep- hav to actually do some work tmrw!! 
657012,neg,2240793149,Fri Jun 19 10:10:09 PDT 2009,NO_QUERY,simonhowes,@supercoolkp In Oxford that month.  
980587,pos,1834037031,Mon May 18 01:23:05 PDT 2009,NO_QUERY,Sofuce,"..time for a cup of tea and fruit bagels, i'm going to turn the day around! "
1277004,pos,2001270247,Tue Jun 02 00:20:53 PDT 2009,NO_QUERY,mouaboy6,Just finished playing asshole. first time 2nd place. Second time 1st place. Heh. 
309676,neg,2000954033,Mon Jun 01 23:25:14 PDT 2009,NO_QUERY,anteaisaplus,Finally got me some greens. 2 bad the dog kept tryna get all up in my mix. I guess she wanted some greens 2. Now I'm snifflin and sneezin 
1550783,pos,2183870038,Mon Jun 15 15:05:50 PDT 2009,NO_QUERY,jubrustolin,@babimattivy nhaaaiiiiiiiiiii! me rendi ao twitter!    fim de agosto to na área hein!?
155945,neg,1955986622,Thu May 28 20:58:41 PDT 2009,NO_QUERY,amygibbons,poor kitty didn't make it last night...lost 2 more and nursing another tonight. 
1240190,pos,1993730510,Mon Jun 01 10:50:31 PDT 2009,NO_QUERY,tswaterman,@MrPope OK - that was cooler than than the search engine launch 
378003,neg,2052008741,Fri Jun 05 23:23:46 PDT 2009,NO_QUERY,jeessss,@AlexAllTimeLow so upset i couldnt go 
607243,neg,2222895221,Thu Jun 18 07:35:01 PDT 2009,NO_QUERY,THabsburg,@Dev92 and we shouldn't have constant rain 
1218793,pos,1989872646,Mon Jun 01 03:06:19 PDT 2009,NO_QUERY,Joyfullyblessed,"Good Morning Folks!  Last week of school...woohoo! Joy, Joy, Joy...down in my heart!  Have a spectacular day! Love to all..extra to Ram!"
324965,neg,2006863698,Tue Jun 02 11:47:47 PDT 2009,NO_QUERY,ishkabibbles,"Even on my happiest of days, seeing others sad makes me sad "
350967,neg,2018144696,Wed Jun 03 09:30:27 PDT 2009,NO_QUERY,NayaGia,I should be celebrating but you're not here  @Xhumonne sorry I asn't able to call. Was on the fon with Koo.T @chuchu82 I miss you poo
442541,neg,2067309923,Sun Jun 07 12:07:11 PDT 2009,NO_QUERY,Gilgamesh247,@TroublePandaPR I used tu have a 360 at least 4 times but kept getting the RROD  so I shifted tu tha #ps3
668255,neg,2245875020,Fri Jun 19 16:45:58 PDT 2009,NO_QUERY,steveo_187,hmmm wonder if my plans will actually happen today? laying in bed 
1037777,pos,1956568507,Thu May 28 22:09:56 PDT 2009,NO_QUERY,Tyrone17,@ddlovatofans101 oh k good luck with that  lol
1038253,pos,1956643574,Thu May 28 22:20:25 PDT 2009,NO_QUERY,QuantumEpiphany,@she_shines92 fangirl squee! 
285600,neg,1993657392,Mon Jun 01 10:43:41 PDT 2009,NO_QUERY,imberrycute,ok aoifes goin mad she hates twitter she thinks its sad  sad thing for peop's hu have no lives thats worse then gaa someone callin it gaaa
16105,neg,1555785015,Sat Apr 18 20:41:08 PDT 2009,NO_QUERY,mrexroad,Ugh... Feeling like death warmed up. All of us are sick  no bueno.
1413143,pos,2056789329,Sat Jun 06 11:47:49 PDT 2009,NO_QUERY,whotook,http://twitpic.com/6rg4l All in for repair 
105064,neg,1822830065,Sat May 16 20:29:11 PDT 2009,NO_QUERY,smelso,@cristayyy I wanna see it too! I misss youuuu boooo 
210760,neg,1974321468,Sat May 30 12:53:30 PDT 2009,NO_QUERY,wallabyanneboo,eating chocolate. bout to watch dr who again? missing jacob already 
611185,neg,2224477520,Thu Jun 18 09:33:02 PDT 2009,NO_QUERY,Donnamarie21,Hey @younglo I been showin u luv n nothin back from ya.. NO show donna no luv no more..    (Young LO TV live &gt; http://ustre.am/28UT)
800162,pos,1467843689,Mon Apr 06 22:28:25 PDT 2009,NO_QUERY,ashleyxtellez,@PushPlayNICK &quot;Grandpa wants an ice chest and some beef.&quot;  George Lopez rulesss!
565077,neg,2206398946,Wed Jun 17 06:29:00 PDT 2009,NO_QUERY,Tayloner182,"Finished homework 5 minutes after they made the final boarding call, sprinted on to plane at last minute, didn't even get to eat McD's "
1435184,pos,2060767385,Sat Jun 06 19:32:23 PDT 2009,NO_QUERY,ANGELEYESBABYFA,gettin ready to cupcake....jus ditched my cuzins fo him...sooooo he betta make it wurth it....   
1352137,pos,2046242848,Fri Jun 05 11:53:57 PDT 2009,NO_QUERY,DeeJayz,http://ping.fm/p/Z022E - Here is heaven on earth and a new one it seems 
1035799,pos,1956243450,Thu May 28 21:28:17 PDT 2009,NO_QUERY,amissible,"I do not now nor ever will, trust the structural integrity of roller coasters, hence i will not ride them. "
750215,neg,2285498195,Mon Jun 22 15:12:23 PDT 2009,NO_QUERY,renaebair,At ER with seren who has been vomiting for four days now and can't keep any liquids down 
982623,pos,1834219742,Mon May 18 02:05:24 PDT 2009,NO_QUERY,khushi4all,@phoenixritu  thn u hv another option... come yo my home... 
1116729,pos,1973296065,Sat May 30 10:52:26 PDT 2009,NO_QUERY,stellar_samar,@KimKardashian getting ready for MTV movie awards! see u there? 
861927,pos,1676783094,Fri May 01 23:10:51 PDT 2009,NO_QUERY,LauraOrchard,jason mccartney is an absolute legend and such a role model 
645448,neg,2236283505,Fri Jun 19 03:18:36 PDT 2009,NO_QUERY,AppleCryptMods,"Feel like cr*p today, barking like a dog and now the hayfever is starting...groan ... "
726968,neg,2262708248,Sat Jun 20 23:03:56 PDT 2009,NO_QUERY,elionnn,@annzoo: And you said I was the weird one who couldn't read!!! 
26208,neg,1558644658,Sun Apr 19 08:59:43 PDT 2009,NO_QUERY,Boxmanshomeboy,@drummrboy I can't 
654427,neg,2239401573,Fri Jun 19 08:29:58 PDT 2009,NO_QUERY,thisisburns,Think someone has sharted themselves on this train! 
639291,neg,2234687727,Thu Jun 18 23:32:38 PDT 2009,NO_QUERY,OfficialAS,"my fingers are like PRUNES. waaaaa  i hate that feel, when they feel powdery and weird. ughh."
1136955,pos,1976673972,Sat May 30 18:44:25 PDT 2009,NO_QUERY,bryandeleon,Movies. Gonna see up. 
241424,neg,1981090808,Sun May 31 08:23:43 PDT 2009,NO_QUERY,aDamBacon,I am going to fail my Maths A level tomorrow 
442701,neg,2067351274,Sun Jun 07 12:11:30 PDT 2009,NO_QUERY,greasyfungus,"@Nikkers But I want her  I need to invent a love potion, dip Cupid's arrow in it, then shove it deep in her right buttock."
771870,neg,2302537564,Tue Jun 23 16:57:01 PDT 2009,NO_QUERY,inkedmom6,@Hawleydawley so sorry 
948001,pos,1823289084,Sat May 16 21:34:55 PDT 2009,NO_QUERY,aayjay,"@krystynzilla honestly, you're amazing.  thank you"
106042,neg,1823376086,Sat May 16 21:48:28 PDT 2009,NO_QUERY,TheeVegan,@richardwatkinsj She Just Gets Our Names Mixed Up....I Just Think It's Normal For Her. Well I HOPE 
8304,neg,1470149399,Tue Apr 07 08:29:44 PDT 2009,NO_QUERY,coachnicol,"Yeah so physio was crap, still about a month away from any form of real physical activity. Couldnt even sit and straignthen my leg "
836495,pos,1558479561,Sun Apr 19 08:30:10 PDT 2009,NO_QUERY,strawberrybomb,"Nice sunny day today, taking the sun chairs out of storage and gonna sit in the back garden with my stereo, a good book and glass of wine "
1530138,pos,2177720679,Mon Jun 15 06:35:27 PDT 2009,NO_QUERY,TwiLiqht_Loveer,going to bed 
100900,neg,1794190467,Thu May 14 05:12:01 PDT 2009,NO_QUERY,anggeh,@sharmaine123 awww... we have same PROMBLEM my dear..  i hate it..
138710,neg,1880624257,Fri May 22 01:54:39 PDT 2009,NO_QUERY,kristianramirez,Sorry tweeple  I'm still feeling pretty miserable so my tweeting isn't up to par 
620218,neg,2228259523,Thu Jun 18 14:13:00 PDT 2009,NO_QUERY,bethwankel,gotta go on a prescription diaper rash cream run this afternoon   poor kiddo.
755128,neg,2288236498,Mon Jun 22 18:53:57 PDT 2009,NO_QUERY,TaNa329,no more J&amp;K+8 
1505267,pos,2072335113,Sun Jun 07 20:49:45 PDT 2009,NO_QUERY,kimcchung,DONE! Now I can relax 
4082,neg,1468739845,Tue Apr 07 03:28:24 PDT 2009,NO_QUERY,Sonjahaha,is aching all over... 
1276146,pos,2001169708,Tue Jun 02 00:02:51 PDT 2009,NO_QUERY,erkkaah,We had baseball game on Sunday we lose 2-0 :/ Saturday and Sunday were really sunnu 
150953,neg,1932393207,Tue May 26 21:22:39 PDT 2009,NO_QUERY,gigivsantos,is not going to the gym today  My shoulder hurts from getting banged up at the u/w hockey tournament last night. Need to rest it.
716696,neg,2259774650,Sat Jun 20 18:08:29 PDT 2009,NO_QUERY,Threedot,"@karenbyrne I am watching #churchonline, but I can't get the chat to work - "
1056313,pos,1962461198,Fri May 29 11:04:55 PDT 2009,NO_QUERY,jannesonrautaa,"This girl was about to sit next to me on the bus, but we made eye contact right before she did, so she got up and moved to another seat. "
931680,pos,1770895979,Mon May 11 22:33:27 PDT 2009,NO_QUERY,FiaLisaN,The bus was  extremely early today. Bet � few people missed it.  Bit not me 
571112,neg,2208669282,Wed Jun 17 09:29:03 PDT 2009,NO_QUERY,BessByers,"Heading to Pullmonster to pack up my apartment  Back tomorrow, in time for more wakeboarding!"
1575597,pos,2189412789,Mon Jun 15 23:58:27 PDT 2009,NO_QUERY,NessaBabehh,Me And Chloe Are Twitter Bums Everyone.  
710930,neg,2258066871,Sat Jun 20 15:20:07 PDT 2009,NO_QUERY,zanderjaymz,@lolyle You still have exams!? 
